source_rack,target_rack,source_row,source_col,target_row,target_col,manhattan_distance,euclidean_m,source_delta_power_W,delta_inlet_K,delta_inlet_K_per_kW
129,93,6,9,4,13,6,4.326661530556787,13923.15131660198,0.014968736809404248,0.0010750968993316558
129,94,6,9,4,14,7,4.686149805543992,13923.15131660198,0.011412035959839528,0.0008196446120808732
129,95,6,9,4,15,8,5.091168824543141,13923.15131660198,0.008440666337296676,0.0006062324645737361
129,96,6,9,4,16,9,5.531726674375732,13923.15131660198,0.006030420446762719,0.00043312180623735944
129,97,6,9,4,17,10,6.0,13923.15131660198,0.004130204841409579,0.00029664296160343524
129,98,6,9,4,18,11,6.48999229583518,13923.15131660198,0.0026835186628382246,0.0001927378796521729
129,99,6,9,4,19,12,6.99714227381436,13923.15131660198,0.0016325381289767904,0.00011725349325408468
129,100,6,9,5,0,10,5.909314681077662,13923.15131660198,0.01861172443805259,0.0013367465464416775
129,101,6,9,5,1,9,5.366563145999495,13923.15131660198,0.023322540749472154,0.0016750906615273465
129,102,6,9,5,2,8,4.8373546489791295,13923.15131660198,0.028824079336686736,0.0020702266808173574
129,103,6,9,5,3,7,4.326661530556787,13923.15131660198,0.03501453606636318,0.0025148427443011274
129,104,6,9,5,4,6,3.841874542459709,13923.15131660198,0.04165822887120996,0.002992011501127381
129,105,6,9,5,5,5,3.3941125496954276,13923.15131660198,0.04824566759040749,0.003465139930848795
129,106,6,9,5,6,4,2.999999999999999,13923.15131660198,0.053818354484761244,0.00386538602224255
129,107,6,9,5,7,3,2.6832815729997463,13923.15131660198,0.056889517223496,0.004085965592836794
129,108,6,9,5,8,2,2.473863375370595,13923.15131660198,0.05585431119188655,0.004011614175684912
129,109,6,9,5,9,1,2.3999999999999986,13923.15131660198,0.05021681156723545,0.0036067130511866865
129,110,6,9,5,10,2,2.4738633753705948,13923.15131660198,0.04154543710778569,0.002983910478531313
129,111,6,9,5,11,3,2.6832815729997463,13923.15131660198,0.03232999330710484,0.002322031311155437
129,112,6,9,5,12,4,2.9999999999999987,13923.15131660198,0.024204439442407022,0.0017384311131881203
129,113,6,9,5,13,5,3.3941125496954268,13923.15131660198,0.01765783360696105,0.0012682354163533244
129,114,6,9,5,14,6,3.8418745424597076,13923.15131660198,0.012561530765985651,0.000902204571389472
129,115,6,9,5,15,7,4.326661530556786,13923.15131660198,0.008636204978888173,0.0006202766013603798
129,116,6,9,5,16,8,4.8373546489791295,13923.15131660198,0.0056353707949270415,0.00040474822594274473
129,117,6,9,5,17,9,5.3665631459994945,13923.15131660198,0.003381837181109404,0.00024289308535179805
129,118,6,9,5,18,10,5.909314681077662,13923.15131660198,0.001762413263506346,0.00012658149174927394
129,119,6,9,5,19,11,6.462197768561404,13923.15131660198,0.0007050128078205375,5.063600845735833e-05
129,120,6,9,6,0,9,5.531726674375733,13923.15131660198,0.014289725095075312,0.0010263283627490445
129,121,6,9,6,1,8,4.947726750741193,13923.15131660198,0.019581044969502415,0.001406365881131663
129,122,6,9,6,2,7,4.368065933568311,13923.15131660198,0.026455329129493776,0.0019000963595036432
129,123,6,9,6,3,6,3.794733192202055,13923.15131660198,0.035086403571064295,0.0025200044712023802
129,124,6,9,6,4,5,3.2310988842807027,13923.15131660198,0.045573689515581606,0.003273230928779715
129,125,6,9,6,5,4,2.6832815729997477,13923.15131660198,0.05776202592474533,0.004148631628808762
129,126,6,9,6,6,3,2.1633307652783933,13923.15131660198,0.07074224466776258,0.0050809075516840396
129,127,6,9,6,7,2,1.6970562748477138,13923.15131660198,0.08153326598655042,0.005855949140574955
129,128,6,9,6,8,1,1.3416407864998734,13923.15131660198,0.08269083179286696,0.005939088781881321
129,129,6,9,6,9,0,1.1999999999999993,13923.15131660198,0.06588685901182245,0.0047321800584942935
129,130,6,9,6,10,1,1.3416407864998732,13923.15131660198,0.04155939712775236,0.0029849131265417546
129,131,6,9,6,11,2,1.6970562748477132,13923.15131660198,0.024737533886131757,0.0017767194598132894
129,132,6,9,6,12,3,2.1633307652783933,13923.15131660198,0.014571332615332722,0.001046554209172305
129,133,6,9,6,13,4,2.683281572999747,13923.15131660198,0.007913384443316573,0.0005683615916664388
